Subject,Topic,Subtopic,Question,Explanation,Option A,Option B,Option C,Option D,Correct Option
Gastroenterology,Gastrointestinal,Gastrointestinal Surgery,A 42-year-old alcoholic and a chronic smoker presented with bouts of vomiting and stabbing pain in the epigastrium. He was binge drinking shortly before the symptoms started. He is febrile and tachycardic. The given findings were seen on bedside radiological imaging. Which among the following is a likely cause of this?,"Correct Option B - Peptic ulcer perforation: → The likely cause of the patient's symptoms and findings on the bedside radiological imaging is Peptic ulcer perforation. → Peptic ulcer disease (PUD) is a condition in which there is erosion or ulceration of the mucosal lining of the stomach or duodenum. A perforated peptic ulcer is a complication of PUD in which the ulcer penetrates through the mucosa and extends into the peritoneal cavity, causing peritonitis. → The patient's history of alcohol abuse and smoking puts him at an increased risk of developing PUD. The sudden onset of vomiting and stabbing pain in the epigastrium suggests a perforated peptic ulcer, which can cause severe abdominal pain and vomiting. → Bedside radiological imaging may show the presence of free air in the peritoneal cavity, a classic finding in patients with a perforated peptic ulcer. The patient's fever and tachycardia may be due to the systemic inflammatory response caused by peritonitis. The likely cause of the patient's symptoms and findings on the bedside radiological imaging is Peptic ul cer perforation. Peptic ulcer disease (PUD) is a condition in which there is erosion or ulceration of the mucosal lining of the stomach or duodenum. A perforated peptic ulcer is a complication of PUD in which the ulcer penetrates through the mucosa and extends into the peritoneal cavity, causing peritonitis. The patient's history of alcohol abuse and smoking puts him at an increased risk of developing PUD. T he sudden onset of vomiting and stabbing pain in the epigastrium suggests a perforated peptic ulcer, which can cause severe abdominal pain and vomiting. Bedside radiological imaging may show the presence of free air in the peritoneal cavity, a classic finding in patients with a perforated peptic ulcer. The patient's fever and tachycardia may be du e to the systemic inflammatory response caused by peritonitis.",Tension pneumothorax,Peptic ulcer perforation,Boerhaave syndrome,Mallory Weiss tear,B
Gastroenterology,Gastrointestinal,Gastrointestinal Surgery,"What is the most appropriate next course of action in managing a male patient, aged 40, who presents with widespread abdominal pain and has a confirmed history of Crohn's disease, as well as rigidity and guarding observed during a physical examination, with ileal perforation being detected on imaging?","Correct Option C - Urgent surgical exploration with ileostomy: → Usually Crohns disease is treated using anti-inflammatory drugs, immune suppressors, antibiotics, and nutrition therapy. Since in this case there is ileal perforation, there is a need for Urgent surgical exploration with ileostomy to contain the bleeding. Usually Crohns disease is treated using anti-inflammatory drugs, immune suppressors, antibiotics, and nutrition therapy. Since in this case there is ileal perforation, there is a need for Urgent surgical exploration with ileostomy to contain the bleeding.",Antibiotics and NPO,Upper GI endoscopy,Urgent surgical exploration with ileostomy,CT abdomen,C
Gastroenterology,Gastrointestinal,Gastrointestinal Surgery,"What is the diagnosis for a patient who exhibits symptoms of dysphagia, experiencing pain behind the breastbone, and regurgitation accompanied by coughing following meals?","Correct Option A - Ulcerative colitis: → The patient's presentation of passage of mucus and blood in the stool, along with inflammation mainly in the rectum and the presence of crypt abscess on biopsy, is consistent with the diagnosis of ulcerative colitis. → Ulcerative colitis is a type of inflammatory bowel disease (IBD) characterized by chronic inflammation of the colon and rectum. It typically presents with symptoms such as bloody diarrhea, mucus in the stool, abdominal pain, and urgency to have bowel movements. Inflammation in ulcerative colitis is continuous and primarily affects the mucosal layer of the colon and rectum. The presence of crypt abscesses, as seen on biopsy, is a characteristic finding in ulcerative colitis. The patient's presentation of passage of mucus and blood in the stool, along with inflammation mainly i n the rectum and the presence of crypt abscess on biopsy, is consistent with the diagnosis of ulcerative colitis. Ulcerative colitis is a type of inflammatory bowel disease (IBD) characterized by chronic inflammation o f the colon and rectum. It typically presents with symptoms such as bloody diarrhea, mucus in the stool , abdominal pain, and urgency to have bowel movements. Inflammation in ulcerative colitis is continuou s and primarily affects the mucosal layer of the colon and rectum. The presence of crypt abscesses, as seen on biopsy, is a characteristic finding in ulcerative colitis.",Brown Patterson Kelly syndrome,Achalasia,Esophageal diverticula,Reflux esophagitis,A
Pediatrics,Genetic Disorders,Genetics Disorders,"What is the diagnosis of a 10-year-old boy who was brought for psychiatric evaluation due to intellectual disability and exhibits an IQ of 45? The boy also presents with physical characteristics such as a long face, large ears, and large testes, along with a cardiac murmur. Additionally, there is a history of poor intellectual function in the paternal family.","Correct Option: C Based on the given information, the most likely diagnosis for the 10-year-old boy with intellectual disabi lity, a long face, large ears, large testes, a cardiac murmur, and a history of poor intellectual function in the paternal family is Fragile X syndrome. Fragile X syndrome is a genetic disorder caused by the expansion of a CGG trinucleotide repeat in the FMR1 gene on the X chromosome. It is the most common inherited ca use of intellectual disability and affects males more severely than females. Here's how the symptoms al ign with Fragile X syndrome: The other options listed are less likely based on the given information: Option A: Cushing's syndrome: Cushing's syndrome is a condition caused by prolonged exposure to hi gh levels of cortisol. It typically presents with features such as obesity, moon face, hypertension, and m uscle weakness. The symptoms described in the question, including intellectual disability and physical f eatures, are not characteristic of Cushing's syndrome. Option B: Rett syndrome: Rett syndrome is a rare genetic disorder primarily affecting females. It is char acterized by loss of purposeful hand skills, slowed growth, breathing abnormalities, and severe intellect ual disability. The large ears, large testes, and family history mentioned in the question are not consiste nt with Rett syndrome. Option D: Williams syndrome: Williams syndrome is a genetic disorder characterized by distinctive faci al features, cardiovascular abnormalities, developmental delays, and cognitive impairments. While card iovascular abnormalities are present in Williams syndrome, the specific physical features mentioned in the question, such as a long face and large ears, are not typical of this condition.",Cushing’s syndrome,Rett syndrome,Fragile X syndrome,William syndrome,C
Pediatrics,Genetic Disorders,Genetics,Which of the subsequent disorders exhibits an autosomal recessive inheritance pattern?,"Cystic fibrosis follows an autosomal recessive inheritance pattern, meaning two copies of the defective gene (one from each parent) are needed for the disorder to manifest.",Huntington’s disease,Treacher Collins syndrome,Cystic fibrosis,Achondroplasia,C
Pediatrics,Genetic Disorders,Genetics,Identify the chromosome that is visibly altered in the provided karyotype.,"Acrocentric chromosomes have the centromere located near the end of the chromosome, as seen in certain autosomes and the Y chromosome.",Acrocentric,Metacentric,Submetacentric,Telocentric,A
Pediatrics,Genetic Disorders,Genetics,Which disease exhibits autosomal recessive inheritance?,"Albinism is inherited in an autosomal recessive manner, requiring two copies of the defective gene.",Albinism,G6PD deficiency,Marfan’s syndrome,Lesch-Nyhan syndrome,A
Head And Neck (1),General,Head And Neck,"In a patient who has experienced a road traffic accident, they come to the emergency room with symptoms of impaired swallowing and speech difficulties. Further investigations show fractures in the occipitotemporal region. Which specific regions should be examined in order to identify the affected nerve?","The soft palate is controlled by the glossopharyngeal nerve (CN IX) and the vagus nerve (CN X), and its dysfunction leads to dysphagia and slurred speech.",1,2,3,4,B
Histology,General,Histology,Identify the cartilage given below?,"The given cartilage is white fibrocartilage, characterized by collagen fibers arranged in parallel bundles, which provide strength and rigidity. It contains Type 1 collagen and is found in areas needing support, such as intervertebral discs, pubic symphysis, and menisci of the knee.",Non-articular hyaline cartilage,Articular hyaline cartilage,Yellow cartilage,White fibrocartilage,D
Histology,General,Histology,Please identify the merocrine gland structure from the options provided.,"Merocrine glands (eccrine glands) secrete substances directly through the cell membrane via exocytosis, important for thermoregulation by releasing sweat. They are found abundantly on the palms, soles, and forehead.",1,2,3,4,B
Pediatrics,Infectious Diseases,Infectious Diease,"What could be the potential diagnosis for a 6-year-old child who exhibits hepatosplenomegaly, generalized lymphadenopathy, fever, and develops a rash following the administration of ampicillin?","654 Correct option: A (cid:127) The presentation of hepatosplenomegaly, generalized lymphadenopathy, and fever in a child who developed a rash after taking ampicillin is highly suggestive of infectious mononucleosis. Infectious mononucleosis is caused by the Epstein-Barr virus (EBV) and commonly presents with these clinical features. The rash, known as an ampicillin rash, is a characteristic reaction seen in patients with EBV infection who are treated with ampicillin or other penicillin-based antibiotics. Incorrect options: Option B: Scarlet fever: Scarlet fever is a bacterial infection caused by group A Streptococcus. While it can present with fever and a rash, it is not typically associated with hepatosplenomegaly or generalized lymphadenopathy. Option C: Kawasaki disease: Kawasaki disease is a vasculitis that primarily affects young children. It c an present with fever, rash, and lymphadenopathy, but hepatosplenomegaly is not a typical feature. Option D: HIV infection: HIV infection can present with hepatosplenomegaly and lymphadenopathy, but the development of a rash after ampicillin administration is not characteristic of HIV infection.",Infectious mononucleosis,Scarlet fever,Kawasaki disease,HIV infection,A
Orthopedics,Lower Limb,"Lower Limb, Pelvis, Spine","What could be the potential diagnosis for a 22-year-old male patient presenting with a history of accident, exhibiting leg abduction and external rotation?","Anterior dislocation of the hip
 Explanation: Abduction and external rotation of the leg are characteristic features of anterior dislocation
 of the hip joint. ",Anterior dislocation of the hip,Posterior dislocation of the hip,Intertrochanteric fracture,Fracture neck of femur,A
Orthopedics,Metabolic Bone Disorders,Metabolic Disorder,What is the most likely cause of the noted findings in a 39-year-old male who presents to the clinic for a routine checkup and only exhibits mild generalized weakness without any other symptoms?,"The combination of high calcium and phosphate with normal PTH levels suggests vitamin D toxicity, leading to increased calcium absorption. Hyperparathyroidism would elevate PTH; osteoporosis does not cause hypercalcemia; osteomalacia is characterized by low calcium levels.",Vitamin D toxicity,Hyperparathyroidism,Osteoporosis,Osteomalacia,A
Psychiatry,Mood Disorders,Mood Disorders,"The patient expresses to the psychiatrist: ""I feel like my brain is gone. What is the purpose of eating? I am already deceased."" What type of delusion does the patient exhibit?","• This is the correct answer. Nihilistic delusion, also known as Cotard's delusion or the delusion of
 negation, is a psychiatric condition in which an individual holds the belief that they are dead, do not
 exist, or that parts of their body or their entire body are missing or decaying",Delusion of misidentification,Nihilistic delusion,Bizarre Delusion,Hypochondriacal Delusion,B
Microbiology,Mycology,Mycology,"What is the probable diagnosis for a 12-year-old boy who exhibits symptoms of right upper quadrant pain, calf pain, conjunctival suffusion, icterus, and fever, with examination indicating the presence of tender hepatomegaly?","• Leptospirosis is a bacterial infection that can occur in humans and animals. It is caused by the
 spirochete bacterium Leptospira interrogans. 
• The clinical presentation of this patient, including right upper quadrant pain, calf pain, conjunctival
 suffusion, icterus, and fever, is consistent with the diagnosis of leptospirosis. Tender hepatomegaly is
 also a common finding in patients with leptospirosis.",A. Chikungunya,B. Leptospirosis,C. Dengue hemorrhagic fever,D. Encephalopathy caused by hepatitis A,B
Microbiology,Mycology,Mycology,"What is the primary risk factor for the disease in a patient who exhibits symptoms of a black, malodorous nasal discharge, along with the presence of a black, necrotic mass that fills the nasal cavity and causes erosion of the septum and hard palate during examination?"," • The correct answer is diabetes. Hyperglycemia or diabetes mellitus (DM) is a disorder of the
 endocrine system. In this condition, the body is insulin-deficient or resistant to insulin. Due to insulin
 deficiency or resistance, the body is unable to process sugar. Hyperglycemia makes the immune
 system weak, which increases the risk of infection in diabetic patients. Fungal infection is more
 common in diabetes mellitus. Mucormycosis is a rare fungal infection in a healthy individual, but in
 diabetes mellitus, it can cause severe complications and even be fatal if not treated adequately and
 timely. Mucormycosis is also called a black fungus. Cases of mucormycosis are infrequent but can be
 disastrous in patients suffering from immunocompromised conditions such as uncontrolled DM,
 coronavirus disease, and hematological cancers.",A. Hypothyroidism,B. Diabetes,C. Hypertension,D. Foreign body, B
National Health Program,General,National Health Program,"As per IMNCI guidelines, a diagnosis of pneumonia is made in a 6-month-old infant when the child exhibits rapid breathing with a respiratory rate exceeding:"," Option D. 50 breaths per minute: A
 6-month-old child is said to have pneumonia if the child has fast breathing with a
 respiratory rate more than 50 breaths per minute.",40,60,30,50,D
Pediatrics,Neonatology,Neonatology,"What would be the most appropriate next course of action in managing a newborn baby who exhibits irritability and cyanosis that improves when crying, and is unable to pass a nasogastric tube during examination with no mist formation observed on the laryngeal mirror test?","In neonates with cyanosis that improves when crying and failure to pass a nasogastric tube, choanal atresia should be suspected. Oro-pharyngeal airway insertion is the next step.",Endotracheal intubation,Oro pharyngeal airway,Oxygen inhalation,Epinephrine nebulization,B
Pediatrics,Neonatology,Neonatology,"What is the Apgar score for a baby that is evaluated 5 minutes after birth and exhibits a pink body color, blue extremities, irregular breathing, a heart rate of 80 beats per minute, grimacing, and some flexion?","The Apgar score of 5 is assigned based on the described clinical features: irregular breathing, low heart rate, grimacing, and some flexion of limbs.",2,3,4,5,D
Pediatrics,Neonatology,Neonatology,"What is the developmental age of a 6-year-old child who exhibits developmental delay, can ride a tricycle, climb stairs with alternate feet, say their name, know their own sex, but cannot narrate a story?","The developmental age of a 6-year-old child who demonstrates the ability to ride a tricycle, climb stairs with alternate feet, and recognize their own name and sex is about 3 years old.",3 years,4 years,5 years,2 years,A
Nephrology,General Nephrology,Nephrology,"What is the probable diagnosis for a child who exhibits generalized swelling and is diagnosed with high cholesterol levels, as well as protein 3+ and fat bodies observed in urine analysis?","Nephrotic syndrome presents with proteinuria, hypoalbuminemia, edema, and hyperlipidemia. Reference: National Kidney Foundation.",Nephrotic syndrome,Nephritic syndrome,Goodpasture's disease,IgA nephropathy,A
Nephrology,General Nephrology,Nephrology,"What is the probable diagnosis for a child who has been experiencing brown-colored urine andreduced urine output for the past three days? The child also exhibits mild swelling in the face and feet,with a blood pressure reading of 126/90. The child has high levels of protein in the urine (2+), morethan 100 red blood cells per high power field (HPF), and a few granular casts. Additionally, the child's creatinine level is 0.9 and urea level is 56.","PSGN presents with hematuria, proteinuria, and hypertension post-streptococcal infection. Reference: The New England Journal of Medicine.",PSGN,Nephrolithiasis,Posterior Urethral Valve,Minimal change disease,A
Neurology,Nervous System,Nervous System,A patient post-stroke exhibits uncontrollable jerking of limbs on one side. Where is the damage?,"Hemiballismus, characterized by jerking movements, is typically associated with damage to the subthalamic nucleus.",Subthalamic nuclei,Globus pallidus,Putamen,Caudate nucleus,A
Neurology,Nervous System,Nervous System,Patient exhibits inappropriate behaviors like hypersexuality. Which structure is likely affected?,"The amygdala is involved in processing emotions, and damage can lead to hypersexuality and behavioral changes.",Gray matter around aqueduct,Amygdala,Hypothalamus,Cingulate gyrus,B
Ophthalmology,Neuro-ophthalmology,Neuro Optha,"What is the probable diagnosis for a patient who exhibits miosis, anhidrosis, mild ptosis, and a persistent small pupil even in low light conditions?","V • Here, the patient presents with miosis, anhidrosis, and mild drooping of eyelids which are
 characteristic of Horner syndrome. The other features of Horner syndrome include ptosis,
 enophthalmos, and loss of Cilio-spinal Reflex.
 • For Horner’s patients, when they are sitting in the dark, there may be no movement of the pupil for 5-7
 seconds, but then it slowly starts dilating. So the pupil will remain small even in darkness. That's why
 the above likely diagnosis is Horner syndrome.",Adie’s tonic people,Horner syndrome,Blind eye,Argyll Robertson pupil,B
Neurology,General Neurology,Neurology,"What is the diagnosis for a 24-year-old female patient who presents with fever, headache, ataxia, nausea, and vomiting for the past 3 days? The patient exhibits neck rigidity and hip and knee flexion upon passive flexion of the neck. A lumbar puncture was performed, and the CSF findings are provided below. Opening pressure – increased Color – cloudy white WBCs – 7000/µl; neutrophil predominant Sugar – 15 mg/dl CSF/serum glucose ratio – 0.2 Protein – 70 mg/dl Latex agglutination – positive Limulus lysate test – negative","The clinical presentation, including fever, headache, ataxia, and CSF analysis findings like neutrophil-predominant leukocytosis and low CSF/serum glucose ratio, suggest bacterial meningitis, often caused by Neisseria meningitidis.",Bacterial meningitis,Tubercular meningitis,Viral meningitis,Fungal meningitis,A
Neurology,General Neurology,Neurology,"What could be the possible diagnosis for a female patient who has experienced a loss of pain and temperature sensation, but still retains her touch sensation, as indicated by imaging findings that reveal cavitation around the central canal?","Syringomyelia involves a fluid-filled cyst in the spinal cord, leading to loss of pain and temperature sensation with intact touch sensation.",Brown-Sequard syndrome,Tabes dorsalis,Syringobulbia,Syringomyelia,D
Neurology,General Neurology,Neurology,"What is the diagnosis of a 20-year-old male who was brought for psychiatric evaluation due to intellectual disability and has an IQ of 45? He exhibits physical characteristics such as a long face, large ears, and large testis. Additionally, a cardiac murmur is detected during examination, and there is a history of poor intellectual function in the paternal family.","The above case is that of Fragile X syndrome as the patient has a long face, large ears, large testis, cardiac murmur, and a history of poor intellectual function present in the paternal family. It is the second most common cause of mental retardation and is an X-linked dominant disease due to CGG trinucleotide repeat expansion.",Cushing’s syndrome,Rett syndrome,Fragile X syndrome,William syndrome,C
Neurology,General Neurology,Neurology,"What is the Glasgow Coma Scale (GCS) score of a patient suffering from a head injury, who exhibits eye-opening in response to a loud voice, pain localization, and confusion with disorientation?","The Glasgow Coma Scale (GCS) score for the patient is E3M5V4. Eye opening response (E3) to loud voice, verbal response (M5) as confused, and motor response (V4) indicating withdrawal from pain.",E3M5V4,E3M6V5,E4M4V5,E3M5V5,A
Neurology,General Neurology,Neurology,What is the recommended treatment for a patient who has a severe history of a road traffic accident and exhibits signs of elevated intracranial pressure upon examination?,"Mannitol is administered to reduce intracranial pressure by drawing fluid out of the brain tissue into the bloodstream, alleviating cerebral edema.",Administer antibiotics for potential infection.,Initiate anticoagulant therapy to prevent blood clot formation.,Perform immediate surgical intervention.,Administer mannitol,D
Neurology,General Neurology,Neurology,Tigroid white matter on MR imaging is seen in which of the following conditions?,"Pelizaeus-Merzbacher disease is a genetic disorder characterized by abnormal myelination in the central nervous system, with MR imaging showing a classic tigroid white matter appearance due to alternating myelination and demyelination.",Pantothenate kinase deficiency,Pelizaeus-Merzbacher disease,Neuroferritinopathy,Aceruloplasminemia,B
Neurology,General Neurology,Neurology,"What is the probable diagnosis for a patient experiencing repeated inflammation of the optic nerve in both eyes along with widespread inflammation of the spinal cord, and exhibiting visual acuity of 6/60 in the right eye and 6/18 in the left eye, with only a partial response to steroid treatment?",Neuromyelitis optica (NMO) is a rare autoimmune disorder characterized by recurrent episodes of optic neuritis and transverse myelitis. Patients typically experience severe visual impairment and varying degrees of motor and sensory deficits due to inflammation. Steroids may provide partial response.,Neuromyelitis optica,Subacute combined degeneration of spinal cord,Posterior cerebral artery stroke,Neurosyphilis,A
Neurology,General Neurology,Neurology,"What is the correct statement about the condition of a 32-year-old woman who visits the clinic with complaints of frequent falls and walking difficulties? The patient has a history of smoking and type-1 diabetes but no history of hypertension or coronary artery disease. During examination, the patient exhibits weakness in both lower limbs, increased reflexes and muscle tone, as well as an unsteady gait. Furthermore, there is a decrease in proprioception and vibration sense in both lower limbs.",Copper deficiency produces similar symptoms. The,Only the dorsal column is involved.,All patients with a neurological impairment will show macrocytosis,Vitamin B12 supplements do not improve the condition,Copper deficiency produces similar symptoms,D
ENT,Nose & Sinuses,Nose And Paranasal Sinuses,"What is the likely diagnosis for a 70-year-old man who has neck nodes and exhibits a dull tympanic membrane, along with symptoms of deafness and tinnitus in the left ear, and a type B curve on a tympanogram?","• In the above case, a 70-year-old male presents with neck nodes. Examination of the left ear reveals a
 dull tympanic membrane, deafness, and tinnitus. On a tympanogram, a type B curve is obtained. This is
 suggestive of nasopharyngeal carcinoma.",Chronic suppurative otitis media,Glomus tumor,Nasopharyngeal carcinoma,Sensorineural hearing loss,
Microbiology,Parasitology,Paracitology,On Ziehl – Neelsen (ZN) staining oocysts of size 8-10 mm cysts are visible. Identify the organism.,"• This ZN staining reveals the presence of 4 cyclospora oocyst-bearing sporozoites showing variability
 in staining in the field. Cyclosporiasis is a disease caused by Cyclospora cayetanensis, transmitted by
 feces or feces-contaminated food and water",Isospora,Cryptosporidium,Cyclospora,Microsporidia,C
Microbiology,Parasitology,Paracitology,"A 30-year-old female developed pruritic papules with excoriated plaques in the interdigital web spaces. Later, the lesion spread to the groin and under the surface of the breasts. The lady gives a history of intense pruritus which is more severe at night. Given below is the organism responsible for this condition. Identify the wrong statement about the same."," The organism responsible for the described condition is Sarcoptes scabiei, the causative agent of
 scabies. Scabies is a parasitic infestation of the skin caused by the burrowing of female mites into the
 epidermis to create tunnels for laying eggs, while the male mite remains on the skin's surface.",Life history has 4 stages,Larvae have 3 pairs of legs,The entire life cycle takes about 15 days,Male parasite burrows into the epidermis,D
Microbiology,Parasitology,Paracitology,A kinyoun positive oocyst (25 µm) was isolated from an HIV patient with diarrhea. Identify the organism.,". The organism identified in this case is Cystoisospora.
 • Cystoisospora (formerly known as Isospora) is a genus of intracellular parasites that infect the
 gastrointestinal tract, particularly the small intestine, in humans and animals. The oocysts of
 Cystoisospora are typically identified in stool samples during routine microscopic examination. The size
 of the oocyst, as mentioned in the question (25 µm), is consistent with Cystoisospora",Cystoisospora,Cyclospora,Cryptosporidium,Microspora,A
Microbiology,Parasitology,Paracitology,The life cycle of an organism is given below. Identify the vector involved," The life cycle of the organism indicates the involvement of a trombiculid mite.
 Therefore, the vector involved in this life cycle is the trombiculid mite.
 Trombiculid mites are vectors for scrub typhus, which is caused by the bacterium Orientia tsutsugamus
 hi. When infected trombiculid mites bite humans, they transmit the bacteria, leading to the development
 of scrub typhus.
 Scrub typhus is a
 mite-borne infectious disease characterized by fever, headache, muscle aches, and a characteristic ski
 n rash. If left untreated, it can progress to more severe complications affecting multiple organ systems. 
It is prevalent in certain regions of Asia, including rural areas with vegetation where the mites reside.",Hard tick,Soft tick,Trombiculid mite,Louse,C
Microbiology,Parasitology,Paracitology,"What is the underlying cause of the symptoms exhibited by a 55-year-old male, including fever, fatigue, and abnormal vital signs, along with the identification of the causative agent based on the microscopic examination of his peripheral blood smear?"," Plasmodium falciparum is the most severe and life-threatening species among the four options
 mentioned. The clinical presentation of fever, increasing fatigue, hypotension, and tachycardia is
 consistent with severe malaria, which is commonly associated with P. falciparum infection",Plasmodium vivax,Plasmodium falciparum,Plasmodium ovale,Plasmodium malariae,B
Microbiology,Parasitology,Paracitology,"A male patient exhibited symptoms of fever and chills. The rapid test indicated a positive result for a specific antigen, HRP-2. Based on this information, which species of Plasmodium is most likely responsible for causing the infection?"," Plasmodium falciparum is one of the species of malaria causing parasites and is the most common
 and deadly species responsible for malaria infections worldwide, particularly in tropical and subtropical
 regions.
 • The HRP-2 (Histidine-rich protein 2) antigen is specific to Plasmodium falciparum.
 • It is a a naturally occurring histidine- and alanine-rich protein localized in several cell compartments,
 including the cytoplasm of P. falciparum, and can be detected in the blood using rapid diagnostic tests
 (RDTs).",Plasmodium falciparum,Plasmodium malariae,Plasmodium vivax,Plasmodium ovale,A
Cardiology,General Cardiology,Ped. Cardiology,Which of the following congenital heart diseases presents with split-second heart sounds? 1. Atrial Septal Defect (ASD) 2. Ventricular Septal Defect (VSD) 3. Patent Ductus Arteriosus (PDA) 4. Tetralogy of Fallot (TOF) (or) Which of the subsequent congenital heart diseases exhibit split-second heart sounds? 1. Atrial Septal Defect (ASD) 2. Ventricular Septal Defect (VSD) 3. Patent Ductus Arteriosus (PDA) 4. Tetralogy of Fallot (TOF),"Correct Option A: Only 1,2,3 is correct → Congenital heart diseases that can present with split-second heart sounds include: → Atrial Septal Defect (ASD): An ASD is a hole in the wall (septum) that separates the two upper chambers of the heart (atria). It can lead to increased blood flow from the left atrium to the right atrium, resulting in more evident splitting of the second heart sound (S2) during auscultation. → Ventricular Septal Defect (VSD): A VSD is a hole in the septum between the two lower chambers of the heart (ventricles). Like ASD, it can cause increased blood flow from the left ventricle to the right ventricle, leading to accentuated splitting of S2. → Patent Ductus Arteriosus (PDA): PDA is a condition where a blood vessel called the ductus arteriosus, which connects the pulmonary artery to the aorta during fetal development, remains open after birth. This can result in abnormal blood flow and increased flow across the pulmonary valve, leading to a more pronounced splitting of S2. Congenital heart diseases that can present with split-second heart sounds include: Atrial Septal Defect (ASD): An ASD is a hole in the wall (septum) that separates the two upper chambe rs of the heart (atria). It can lead to increased blood flow from the left atrium to the right atrium, resultin g in more evident splitting of the second heart sound (S2) during auscultation. Ventricular Septal Defect (VSD): A VSD is a hole in the septum between the two lower chambers of the heart (ventricles). Like ASD, it can cause increased blood flow from the left ventricle to the right ventric le, leading to accentuated splitting of S2. Patent Ductus Arteriosus (PDA): PDA is a condition where a blood vessel called the ductus arteriosus, which connects the pulmonary artery to the aorta during fetal development, remains open after birth. T his can result in abnormal blood flow and increased flow across the pulmonary valve, leading to a more pronounced splitting of S2. Incorrect options: The congenital heart disease that does not typically present with split-second heart sounds is: Tetralogy of Fallot (TOF) Tetralogy of Fallot is a complex congenital heart defect characterized by four specific abnormalities in t he heart's structure, including: Ventricular Septal Defect (VSD): A hole in the septum between the two lower chambers (ventricles) of the heart. Pulmonary Stenosis: Narrowing of the pulmonary valve or the blood vessel that carries blood from the heart to the lungs. Right Ventricular Hypertrophy: Thickening of the right ventricular wall due to increased workload. Overriding Aorta: The aorta, the main artery that carries oxygen-rich blood from the heart to the body, i s positioned over both ventricles instead of arising only from the left ventricle.","Only 1,2,3 is correct","Only 2,3,4 is correct","Only 1,2,4 is correct",All are correct,A
Neurology,General Neurology,Pedia Neurology,"A 7-year-old child from a socioeconomically disadvantaged background has presented with fever, convulsions, and unusual behavior over the past two months, and has now become unresponsive to their parents for the past two days. On examination, the child exhibits neck stiffness, and their cerebrospinal fluid (CSF) analysis reveals an elevated number of lymphocytes, glucose levels of 30 mg%, and protein levels of 300 mg%. What is the diagnosis?","Correct Option C: Tubercular meningitis (cid:127) Tubercular meningitis is a form of meningitis caused by Mycobacterium tuberculosis, the bacteria that causes tuberculosis. (cid:127) It primarily affects the membranes surrounding the brain and spinal cord. Tubercular meningitis often presents with a subacute or chronic course. (cid:127) The symptoms may include fever, headache, neck stiffness, altered mental status, and neurological abnormalities. (cid:127) The CSF findings typically show increased lymphocytes, low glucose levels, and elevated protein levels.",Viral meningitis,Bacterial meningitis,Tubercular meningitis,Partially treated bacterial meningitis ,C
Orthopedics,Pelvis,Pelvis,The patient exhibited an enlarged lymph node in the inguinal area. The primary cause that is most probable is,"Anal cancer spreads to the inguinal lymph nodes, making it a primary cause of inguinal lymphadenopathy.",Testicular cancer,Anal cancer,Sigmoid colon cancer,Prostate cancer,B
Nephrology,Renal Diseases,Renal,"A pediatric patient arrived at the hospital with cola-coloured urine, high blood pressure, and swelling around the eyes. Laboratory tests were conducted, revealing a creatinine level of 2.5 mg/dL. After commencing the treatment, the patient exhibited no signs of improvement over a period of 3 weeks. Furthermore, their creatinine levels rose to 4.5 mg/dL. Consequently, which of the below electron microscopic observations is expected in this patient?","• The child presented with complaints of cola-coloured urine, puffiness of the eyes, and raised
 creatinine, which is suggestive of post-streptococcal glomerulonephritis.
 • In post-streptococcal glomerulonephritis, on electron microscopy, subepithelial deposits are seen",Subendothelial deposits,Subepithelial deposits,Crescent formation,Mesangial deposits,B
Pediatrics,Respiratory,Respiratory System,A 65-year-old HIV positive man presented with fever and breathlessness for 2 weeks. Imaging shows dense infiltration in the lower lobe and the lung biopsy showed the following finding. What is the diagnosis?,"• CMV (Cytomegalovirus) associated organizing pneumonia is a lung condition caused by infection with
 the CMV virus.
 • It is characterized by organizing pneumonia, which refers to the accumulation of granulation tissue
 within the lung's airspaces.
 • This condition often presents with fever, cough, and breathlessness.
 • To diagnose CMV-associated organizing pneumonia, the presence of CMV infection would need to be
 confirmed through specific testing methods such as viral culture, polymerase chain reaction (PCR), or
 immunohistochemical staining.",Small cell lung cancer,CMV associated organizing pneumonia,Cryptococcal pneumonia,Tuberculosis,B
Psychiatry,Sexual Disorders,Sexual Disorder,"Match the following: Eonism, Exhibitionism, Frotteurism, Necrophilia."," • Eonism is sexual pleasures attained by wearing clothes of the opposite sex.
 • Exhibitionism is the exposure of one’s genitals to a stranger.
 • Frotteurism is sexual gratification by rubbing private parts against another person.
 • Necrophilia is the sexual gratification of having intercourse with dead bodies.",A. Exposure of one’s genitals to an unsuspecting stranger,B. Sexual gratification by intercourse with dead bodies,C. Sexual pleasure by wearing clothes of the opposite sex,D. Sexual gratification by rubbing private parts against another person,B
Thanatology,General,Thanatology,Identify the post-mortem change described below.,Suggillation,A. Tattooing,B. Suggilation,C. Putrefaction,D. Decomposition,B
Thoracic Radiology,General,Thoracic Radiology,Which condition does NOT exhibit egg-shell calcification?,Egg-shell calcification is seen in conditions like silicosis and sarcoidosis but is not typical in metastatic lymph nodes.,Silicosis,Sarcoidosis,Post-radiation therapy,Metastatic lymph nodes,D
